policy,rank,total_cost_yuan,saving_vs_0_only_yuan,saving_vs_0_only_pct,plan_cost_yuan,adjust_cost_yuan,emergency_cost_yuan,emergency_kwh,adjust_up_kwh,adjust_down_kwh
0-only,8,13785061.761447709,0.0,0.0,12875904.71482774,0.0,909157.0466199679,149380.19417735955,0.0,0.0
0+6,7,13624463.682512127,160598.0789355822,1.1650153021782048,12182699.340831976,844062.3237333224,597702.0179468319,94954.31148298745,661447.14794869,126113.24880707578
0+12,6,13512386.66634119,272675.09510651976,1.9780476854235245,12266488.230033545,635846.8721003239,610051.5642073093,105905.61839430628,486438.5183430427,185185.46016929767
0+18,4,13376118.11662,408943.6448277086,2.9665710020348963,12531344.045919085,495089.4559098442,349684.6147910642,67050.90684002782,255948.27645939795,14104.678986896126
0+6+12,5,13388526.327757271,396535.43369043805,2.8765589922811765,12127958.195700768,817421.7118903779,443146.4201661315,72646.741942112,605802.5123890301,244937.4950167561
0+6+18,2,13286554.087721031,498507.6737266779,3.6162890116375115,12168120.555400308,911332.0041364742,207101.52818424834,37471.13574658649,640129.3292361717,157296.10262429228
0+12+18,3,13288096.326997822,496965.4344498869,3.605101254168741,12251679.65734434,655671.1456551434,380745.523998332,71755.90405786682,469902.18123165885,206565.6140907344
0+6+12+18,1,13162682.885500716,622378.875946993,4.51487912580546,12114099.71636921,833624.8961012338,214958.2730302681,38737.747832720306,585146.1292687943,265196.70369861444
