price_low,price_high,emergency_intervals,emergency_kwh,emergency_cost_yuan,mean_price,curtail_kwh
0.00,0.45,5,1065.5042073860798,2331.5323822031323,0.4236,266983.1792329034
0.45,0.75,3,749.9048337419888,2124.9755825829693,0.5480,348432.46482584777
0.75,1.05,427,17925.964089704918,84665.22609298294,0.9219,602207.015198008
1.05,1.45,181,18996.374701887322,125836.53897249907,1.3008,41162.94805975181
