kind,kwh_per_interval
charge,804.7583087670805
charge,14.027168920960492
charge,29.66968327506936
charge,37.732143459646636
charge,34.157251838454215
charge,58.56452335025165
charge,78.44721751159977
charge,46.177254126512025
charge,9.677912512305909
charge,25.649831154426522
charge,8.06657210924726
charge,59.135901145012156
charge,120.15071099035879
charge,60.82140937517141
discharge,2.740547787683738
charge,0.24127299802262314
charge,7.77280657975075
charge,36.18824064747997
charge,50.521093829792164
charge,31.421366493964456
charge,17.96784886698265
charge,16.518054190799262
discharge,21.71678040776783
discharge,8.377576242601776
charge,43.43350787476999
charge,29.97619483131342
charge,18.797937290802395
charge,28.145248736650842
charge,40.12846023897248
charge,15.82132236418248
discharge,531.1811666666666
discharge,510.98333333333335
discharge,535.1871833333332
discharge,533.3553333333333
discharge,504.52
discharge,519.5536833333333
discharge,551.4800833333333
discharge,552.0416666666666
discharge,514.5580499999999
discharge,447.90854999999993
discharge,389.4241666666667
discharge,377.65375
discharge,361.16134999999997
discharge,299.92291666666665
discharge,202.22623333333343
discharge,129.7926
discharge,86.28458333333327
discharge,35.96915000000001
discharge,62.45393333333334
discharge,115.17666666666673
discharge,45.824116666666555
charge,31.360500000000002
charge,61.70083333333332
charge,105.10811666666666
charge,170.19725000000005
charge,215.4304166666666
charge,200.41763333333336
charge,226.92018333333328
charge,292.22541666666666
charge,301.0877333333334
charge,343.2174
charge,407.3499999999999
charge,388.4834666666666
charge,395.24006666666673
charge,444.52750000000003
charge,444.10710000000006
charge,448.2673333333332
charge,460.6229166666667
charge,428.6418166666666
charge,426.38726666666673
charge,458.39083333333326
charge,450.9835999999999
charge,425.65438333333327
charge,413.5433333333333
charge,421.64868333333334
charge,422.7244333333331
charge,410.2679166666667
charge,226.05993662551353
discharge,28.429149999999936
discharge,64.99356113284409
discharge,32.514482088195166
discharge,28.063423082162444
charge,6.371003064189267
charge,0.7180977098553285
discharge,7.284394559296061
discharge,19.653255653322162
discharge,7.544315773373114
discharge,14.166053106537674
discharge,42.02437360424625
discharge,17.610648382178226
discharge,19.41484479241467
discharge,32.453483121452166
