date,t_template,time_start,price_yuan_per_kwh,plan_kwh,final_contract_kwh,natural_plan_kwh,natural_final_kwh,emergency_kwh,charge_kwh,discharge_kwh,curtail_kwh,soc_end_kwh
2025-03-20,0,0:10,0.4248,576.9353742124147,576.9353742124147,1375.0338709735588,1375.0338709735588,0.0,806.6155376402255,0.0,0.0,10356.050558513314
2025-03-20,1,0:20,0.4245,567.2755215448693,567.2755215448693,576.9353742124147,576.9353742124147,0.0,27.09055754574797,0.0,0.0,10380.432060304487
2025-03-20,2,0:30,0.4269,565.2789107330656,565.2789107330656,567.2755215448693,567.2755215448693,0.0,0.0,3.0379784551306557,0.0,10377.056528687675
2025-03-20,3,0:40,0.4272,573.4980307458135,573.4980307458135,565.2789107330656,565.2789107330656,0.0,0.0,48.572755933601115,0.0,10323.086799872563
2025-03-20,4,0:50,0.4271,589.1519158324737,589.1519158324737,573.4980307458135,573.4980307458135,0.0,0.0,5.958135920853124,0.0,10316.466648849393
2025-03-20,5,1:00,0.4285,575.45083797027,575.45083797027,589.1519158324737,589.1519158324737,0.0,38.70699916580713,0.0,0.0,10351.302948098619
2025-03-20,6,1:10,0.4311,576.7460737541456,576.7460737541456,575.45083797027,575.45083797027,0.0,4.294171303603321,0.0,0.0,10355.167702271861
2025-03-20,7,1:20,0.4302,583.3655731992249,583.3655731992249,576.7460737541456,576.7460737541456,0.0,0.0,24.842976245854288,0.0,10327.564395332023
2025-03-20,8,1:30,0.4279,567.0075679008397,567.0075679008397,583.3655731992249,583.3655731992249,0.0,0.0,28.11817680077513,0.0,10296.321976664496
2025-03-20,9,1:40,0.4312,562.8329133379085,562.8329133379085,567.0075679008397,567.0075679008397,0.0,0.0,31.20909876582698,0.0,10261.64520025802
2025-03-20,10,1:50,0.4333,580.1602352105591,580.1602352105591,562.8329133379085,562.8329133379085,0.0,0.0,21.103036662091426,0.0,10238.197381744585
2025-03-20,11,2:00,0.4311,577.2778618447337,577.2778618447337,580.1602352105591,580.1602352105591,0.0,0.0,10.834814789440884,0.0,10226.158698645206
2025-03-20,12,2:10,0.4293,572.1245088600097,572.1245088600097,577.2778618447337,577.2778618447337,0.0,0.0,21.165471488599565,0.0,10202.641508102317
2025-03-20,13,2:20,0.4324,565.379217980729,565.379217980729,572.1245088600097,572.1245088600097,0.0,6.1408921933430065,0.0,0.0,10208.168311076326
2025-03-20,14,2:30,0.4367,575.3644749567716,575.3644749567716,565.379217980729,565.379217980729,0.0,19.258451314062313,0.0,0.0,10225.500917258982
2025-03-20,15,2:40,0.4348,585.4099447111854,585.4099447111854,575.3644749567716,575.3644749567716,0.0,9.651141623438207,0.0,0.0,10234.186944720075
2025-03-20,16,2:50,0.4335,580.1103473077876,580.1103473077876,585.4099447111854,585.4099447111854,0.0,0.0,12.516621955481241,0.0,10220.279586991763
2025-03-20,17,3:00,0.4357,574.9584264873492,574.9584264873492,580.1103473077876,580.1103473077876,0.0,0.0,20.84411935887897,0.0,10197.119454370786
2025-03-20,18,3:10,0.4374,569.4500663356332,569.4500663356332,574.9584264873492,574.9584264873492,0.0,0.0,12.173240179317418,0.0,10183.593631949323
2025-03-20,19,3:20,0.4371,566.7054988067454,566.7054988067454,569.4500663356332,569.4500663356332,0.0,0.0,35.76023366436675,0.0,10143.860038988916
2025-03-20,20,3:30,0.4356,576.7527856033612,576.7527856033612,566.7054988067454,566.7054988067454,0.0,0.0,55.18688452658796,0.0,10082.541278403818
2025-03-20,21,3:40,0.4353,599.1221863874349,599.1221863874349,576.7527856033612,576.7527856033612,0.0,0.0,43.415547729972104,0.0,10034.301780926071
2025-03-20,22,3:50,0.4360,589.7406043719539,589.7406043719539,599.1221863874349,599.1221863874349,0.0,0.0,17.500896945898376,0.0,10014.856339875072
2025-03-20,23,4:00,0.4378,569.7490784666352,569.7490784666352,589.7406043719539,589.7406043719539,0.0,0.0,22.72314562804604,0.0,9989.608400288354
2025-03-20,24,4:10,0.4401,593.8523917591549,593.8523917591549,569.7490784666352,569.7490784666352,0.0,0.0,34.18092153336477,0.0,9951.629598584615
2025-03-20,25,4:20,0.4389,600.8037797256649,600.8037797256649,593.8523917591549,593.8523917591549,0.0,4.057758425821589,0.0,0.0,9955.281581167856
2025-03-20,26,4:30,0.4364,586.8889094781582,586.8889094781582,600.8037797256649,600.8037797256649,0.0,19.339729725664938,0.0,0.0,9972.687337920954
2025-03-20,27,4:40,0.4393,593.7614086294415,593.7614086294415,586.8889094781582,586.8889094781582,0.0,1.3039094781581753,0.0,0.0,9973.860856451296
2025-03-20,28,4:50,0.4422,586.4464875728546,586.4464875728546,593.7614086294415,593.7614086294415,0.0,0.0,5.963724703891899,0.0,9967.234495669194
2025-03-20,29,5:00,0.4395,584.8328125393848,584.8328125393848,586.4464875728546,586.4464875728546,0.0,0.0,30.292829093811974,0.0,9933.57579667607
2025-03-20,30,5:10,0.4333,604.2399039963306,604.2399039963306,584.8328125393848,584.8328125393848,0.0,0.0,40.76218746061522,0.0,9888.284477275387
2025-03-20,31,5:20,0.4439,593.9485398250058,593.9485398250058,604.2399039963306,604.2399039963306,0.0,0.0,15.194012670336065,0.0,9871.402240975014
2025-03-20,32,5:30,0.4301,604.8144856473442,604.8144856473442,593.9485398250058,593.9485398250058,0.0,0.0,23.89586017499414,0.0,9844.85128522502
2025-03-20,33,5:40,0.3713,1386.6513546640908,1386.6513546640908,604.8144856473442,604.8144856473442,0.0,0.0,2.300514352655796,0.0,9842.295158166515
2025-03-20,34,5:50,0.5708,670.1690831421947,670.1690831421947,1386.6513546640908,1386.6513546640908,0.0,811.2212879974242,0.0,0.0,10572.394317364196
2025-03-20,35,6:00,0.9099,-0.0,24.659066948375425,670.1690831421947,670.1690831421947,0.0,0.0,1.2940335244718426,0.0,10570.956502337005
2025-03-20,36,6:10,0.9368,0.0,0.0,-0.0,24.659066948375425,0.0,0.0,802.3559330516246,0.0,9679.449910057423
2025-03-20,37,6:20,0.8758,0.0,0.0,0.0,0.0,0.0,0.0,791.9499333333334,0.0,8799.505539687052
2025-03-20,38,6:30,0.8759,0.0,0.0,0.0,0.0,0.0,0.0,709.9633166666667,0.0,8010.657410057423
2025-03-20,39,6:40,0.8601,0.0,0.0,0.0,0.0,0.0,0.0,671.3708333333333,0.0,7264.68981746483
2025-03-20,40,6:50,0.8442,-0.0,0.0,0.0,0.0,0.0,0.0,629.0448666666667,0.0,6565.751076724089
2025-03-20,41,7:00,0.8334,-0.0,0.0,-0.0,0.0,0.0,0.0,586.1559166666666,0.0,5914.466724872237
2025-03-20,42,7:10,0.8092,-0.0,337.02682591836026,-0.0,0.0,0.0,0.0,531.1820833333334,0.0,5324.2644100574225
2025-03-20,43,7:20,0.7972,350.6146536201815,391.8962219857644,-0.0,337.02682591836026,0.0,0.0,109.54867408163977,0.0,5202.543661077822
2025-03-20,44,7:30,0.7644,324.1917452499898,351.0326918549783,350.6146536201815,391.8962219857644,0.0,0.0,9.345394680902189,0.0,5192.159889210154
2025-03-20,45,7:40,0.6899,287.46439289427803,305.80728898320126,324.1917452499898,351.0326918549783,0.0,0.0,18.54439147835501,0.0,5171.555009789759
2025-03-20,46,7:50,0.8600,0.0,0.0,287.46439289427803,305.80728898320126,0.0,25.117088983201256,0.0,0.0,5194.160389874641
2025-03-20,47,8:00,1.1617,0.0,0.0,0.0,0.0,0.0,0.0,334.5780666666667,0.0,4822.406982467233
2025-03-20,48,8:10,1.1683,0.0,0.0,0.0,0.0,0.0,0.0,488.1795833333334,0.0,4279.985223207974
2025-03-20,49,8:20,1.0956,0.0,0.0,0.0,0.0,0.0,0.0,482.8038499999999,0.0,3743.536500985752
2025-03-20,50,8:30,1.0849,0.0,0.0,0.0,0.0,0.0,0.0,438.3713999999999,0.0,3256.457167652419
2025-03-20,51,8:40,1.0610,0.0,0.0,0.0,0.0,0.0,0.0,411.15750000000014,0.0,2799.615500985752
2025-03-20,52,8:50,1.0430,0.0,0.0,0.0,0.0,0.0,0.0,332.6721833333331,0.0,2429.979741726493
2025-03-20,53,9:00,1.0360,0.0,0.0,0.0,0.0,0.0,0.0,278.00513333333333,0.0,2121.0851491339004
2025-03-20,54,9:10,1.0147,0.0,0.0,0.0,0.0,0.0,0.0,262.8204166666668,0.0,1829.062463948715
2025-03-20,55,9:20,0.9922,0.0,0.0,0.0,0.0,0.0,0.0,221.28376666666668,0.0,1583.191612096863
2025-03-20,56,9:30,0.9700,0.0,0.0,0.0,0.0,0.0,0.0,150.51836666666668,0.0,1415.9489824672335
2025-03-20,57,9:40,0.9422,0.0,0.0,0.0,0.0,0.0,0.0,77.1854166666667,0.0,1330.1874083931593
2025-03-20,58,9:50,0.9569,0.0,0.0,0.0,0.0,0.0,0.0,36.094750000000204,0.0,1290.0821306153814
2025-03-20,59,10:00,0.9977,0.0,0.0,0.0,0.0,0.0,0.0,41.25734999999986,0.0,1244.2406306153816
2025-03-20,60,10:10,0.9919,0.0,0.0,0.0,0.0,5.3905157794897605,0.0,39.81656755384347,0.0,1200.0
