issue,context,saving_yuan
6:00,(baseline),160598.0789355822
6:00,12:00,123860.33858391829
6:00,18:00,89564.02889896929
6:00,12:00|18:00,125413.4414971061
12:00,(baseline),272675.09510651976
12:00,6:00,235937.35475485586
12:00,18:00,88021.7896221783
12:00,6:00|18:00,123871.20222031511
18:00,(baseline),408943.6448277086
18:00,6:00,337909.5947910957
18:00,12:00,224290.33934336714
18:00,6:00|12:00,225843.44225655496
