lam,lam_over_baseline,total_cost_yuan,delta_vs_baseline_yuan,delta_pct,emergency_kwh,emergency_cost_yuan,curtail_kwh,soc_start_delivery_kwh,soc_end_delivery_kwh,soc_end_mean_daily_kwh,cost_net_of_storage_change_yuan
0.0000,0.0000,13179760.33777623,17077.452275514603,0.12974142448061166,60200.08616737839,278236.76335253275,1220177.69157433,1528.7602604166714,1200.0,1682.9718026695268,13179760.33777623
0.2390,0.5000,13169514.269746235,6831.384245518595,0.05189963402554287,52942.885967074464,253508.62590476385,1219364.2549180328,1565.5210800652733,1218.295778785581,1757.9847112815244,13169597.25659324
0.3585,0.7500,13154552.985054664,-8129.900446051732,-0.061764767234551154,47381.921287772806,235133.45945728716,1219538.8979099367,1594.3738778985946,1235.2943075749565,1822.1707983695658,13154681.715080624
0.4780,1.0000,13162682.885500716,0.0,0.0,38737.747832720306,214958.2730302681,1258785.6073165124,9284.910908021775,8914.93218925726,9292.494061030813,13162859.735328285
0.7170,1.5000,13243341.676502313,80658.79100159742,0.6127838200101765,42433.01551204863,236852.70824339113,1381755.5823669382,10251.970677781439,9873.03268014089,10199.948549046148,13243613.375046622
0.9560,2.0000,13247496.749547841,84813.86404712498,0.6443508879223403,42593.018443253226,238293.13133129402,1390936.3568468597,10278.385467761369,9917.402580390848,10227.577684363388,13247841.849188168
1.4340,3.0000,13251711.147309162,89028.26180844568,0.6763686596637175,42003.75737080545,235249.3335319987,1401422.8912491763,10284.702394726717,9917.402580390848,10250.484530029113,13252237.85524292
