date,interval_index,scenario_id,scenario_net_kwh,center_forecast_kwh,actual_net_kwh
2025-03-20,103,0,830.155525,887.901767,843.23245
2025-03-20,104,0,864.9452,919.476667,873.855183
2025-03-20,105,0,916.838125,994.756458,904.72375
2025-03-20,106,0,1048.864858,1046.172842,973.09075
2025-03-20,107,0,931.806483,928.840025,873.003183
2025-03-20,108,0,668.658333,715.2775,682.353333
2025-03-20,109,0,664.53,693.439208,697.997283
2025-03-20,110,0,722.307358,728.01295,739.308217
2025-03-20,111,0,724.171667,736.203333,709.241667
2025-03-20,112,0,742.25415,733.22685,714.422817
2025-03-20,113,0,722.769242,720.181425,744.974333
2025-03-20,114,0,689.29,708.436667,763.206667
2025-03-20,115,0,718.78295,708.966792,746.718033
2025-03-20,116,0,728.935383,720.005933,714.2555
2025-03-20,117,0,693.170833,719.5425,699.463333
2025-03-20,118,0,728.84315,725.050642,721.8114
2025-03-20,119,0,734.751742,714.400725,728.491
2025-03-20,120,0,708.0375,704.648333,726.368333
2025-03-20,121,0,745.632525,728.9078,764.336517
2025-03-20,122,0,750.930442,732.816033,753.943817
2025-03-20,123,0,742.906667,724.384167,702.561667
2025-03-20,124,0,757.087025,724.059058,709.374483
2025-03-20,125,0,747.602883,736.002092,719.835983
2025-03-20,126,0,724.055,745.966667,709.541667
2025-03-20,127,0,742.605942,739.2126,715.044683
2025-03-20,128,0,751.626658,729.781992,736.4506
2025-03-20,129,0,722.6775,727.069167,758.933333
2025-03-20,130,0,718.04635,737.4129,754.375467
2025-03-20,131,0,633.122992,659.162242,666.937533
2025-03-20,132,0,532.853333,539.903333,553.156667
2025-03-20,133,0,540.519833,533.531175,538.901467
2025-03-20,134,0,561.335158,558.192842,553.3285
2025-03-20,135,0,543.591667,558.320833,542.64
2025-03-20,136,0,570.05785,553.707817,524.0221
2025-03-20,137,0,556.505017,556.852742,526.969567
2025-03-20,138,0,536.9025,566.254167,549.4
2025-03-20,139,0,573.366592,582.934308,559.40135
2025-03-20,140,0,574.610275,570.857708,543.627933
2025-03-20,141,0,544.299167,554.2225,544.621667
2025-03-20,142,0,540.750067,555.695642,600.679333
2025-03-20,143,0,517.454417,504.754608,540.978183
2025-03-20,0,1,606.085833,576.600833,568.418333
2025-03-20,1,1,558.922642,569.979133,549.844817
2025-03-20,2,1,548.544375,575.0196,570.3135
2025-03-20,3,1,593.844167,584.253333,613.851667
2025-03-20,4,1,577.2445,584.748725,579.456167
2025-03-20,5,1,564.160592,597.524358,550.444917
2025-03-20,6,1,564.059167,594.001667,571.156667
2025-03-20,7,1,579.080808,604.236775,601.58905
2025-03-20,8,1,565.715758,590.7587,611.48375
2025-03-20,9,1,547.989167,573.410833,598.216667
2025-03-20,10,1,542.483908,581.486017,583.93595
2025-03-20,11,1,563.001208,591.350417,590.99505
2025-03-20,12,1,590.288333,585.080833,598.443333
2025-03-20,13,1,590.3769,579.469617,565.983617
2025-03-20,14,1,557.544775,582.373433,546.120767
2025-03-20,15,1,551.573333,600.056667,565.713333
2025-03-20,16,1,596.463242,596.951,597.926567
2025-03-20,17,1,613.079458,610.932458,600.954467
2025-03-20,18,1,568.495,619.6675,587.131667
2025-03-20,19,1,541.243842,596.932,605.2103
2025-03-20,20,1,551.949342,579.717325,621.892383
2025-03-20,21,1,548.0225,592.434167,620.168333
2025-03-20,22,1,595.997233,628.96825,616.623083
2025-03-20,23,1,569.906425,629.010492,612.46375
2025-03-20,24,1,558.726667,618.669167,603.93
2025-03-20,25,1,620.406883,641.316525,589.794633
2025-03-20,26,1,621.2386,642.077358,581.46405
2025-03-20,27,1,566.6975,614.4975,585.585
2025-03-20,28,1,570.212675,619.765708,599.725133
2025-03-20,29,1,590.514867,626.905975,616.739317
2025-03-20,30,1,595.7275,630.515833,625.595
2025-03-20,31,1,573.001467,624.007958,619.433917
2025-03-20,32,1,574.650383,631.823258,617.8444
2025-03-20,33,1,604.49,644.470833,607.115
2025-03-20,34,1,609.221975,635.34085,575.430067
2025-03-20,35,1,674.336333,704.076108,671.463117
2025-03-20,36,1,772.435,837.290833,827.015
2025-03-20,37,1,736.187817,845.877275,791.949933
2025-03-20,38,1,728.365133,814.061233,709.963317
2025-03-20,39,1,704.121667,789.955208,671.370833
2025-03-20,40,1,605.2145,749.887942,629.044867
2025-03-20,41,1,553.47905,702.173967,586.155917
2025-03-20,42,1,569.064792,662.270417,531.182083
2025-03-20,43,1,474.649392,605.869092,446.5755
2025-03-20,44,1,331.509675,533.942767,401.241617
2025-03-20,45,1,247.65625,479.585625,369.577083
2025-03-20,46,1,182.457642,387.734508,280.6902
2025-03-20,47,1,286.024958,472.637475,334.578067
2025-03-20,48,1,416.923333,615.791875,488.179583
2025-03-20,49,1,365.250708,569.482317,482.80385
2025-03-20,50,1,340.638092,507.59255,438.3714
2025-03-20,51,1,354.884167,485.322292,411.1575
2025-03-20,52,1,243.587,404.397192,332.672183
2025-03-20,53,1,257.5556,371.080092,278.005133
2025-03-20,54,1,249.342083,326.178958,262.820417
2025-03-20,55,1,120.169392,250.627625,221.283767
