time_label,price_yuan_per_kwh,load_kw,pv_kw,net_kw,net_kwh
00:10,0.4248,3439.8466,0.0,3439.8466,573.307767
00:20,0.4245,3437.9792,0.0,3437.9792,572.996533
00:30,0.4269,3444.3031,0.0,3444.3031,574.050517
00:40,0.4272,3454.4437,0.0,3454.4437,575.740617
00:50,0.4271,3458.8273,0.0,3458.8273,576.471217
01:00,0.4285,3459.8401,0.0,3459.8401,576.640017
01:10,0.4311,3467.1582,0.0,3467.1582,577.8597
01:20,0.4302,3467.9632,0.0,3467.9632,577.993867
01:30,0.4279,3466.9683,0.0,3466.9683,577.82805
01:40,0.4312,3482.4927,0.0,3482.4927,580.41545
01:50,0.4333,3495.0841,0.0,3495.0841,582.514017
02:00,0.4311,3498.4443,0.0,3498.4443,583.07405
02:10,0.4293,3505.2295,0.0,3505.2295,584.204917
02:20,0.4324,3512.6387,0.0,3512.6387,585.439783
02:30,0.4367,3516.8685,0.0,3516.8685,586.14475
02:40,0.4348,3517.9246,0.0,3517.9246,586.320767
02:50,0.4335,3518.5518,0.0,3518.5518,586.4253
03:00,0.4357,3521.0976,0.0,3521.0976,586.8496
03:10,0.4374,3526.9261,0.0,3526.9261,587.821017
03:20,0.4371,3537.2854,0.0,3537.2854,589.547567
03:30,0.4356,3544.8808,0.0,3544.8808,590.813467
03:40,0.4353,3541.2787,0.0,3541.2787,590.213117
03:50,0.436,3546.3976,0.0,3546.3976,591.066267
04:00,0.4378,3560.207,0.0,3560.207,593.367833
04:10,0.4401,3561.9581,0.0,3561.9581,593.659683
04:20,0.4389,3556.7183,0.0,3556.7183,592.786383
04:30,0.4364,3560.0272,0.0,3560.0272,593.337867
04:40,0.4393,3580.654,0.5994,3580.0546,596.675767
04:50,0.4422,3586.916,0.2345,3586.6815,597.78025
05:00,0.4395,3571.2635,0.2885,3570.975,595.1625
05:10,0.4333,3562.3171,18.6781,3543.639,590.6065
05:20,0.4439,3591.3809,54.4698,3536.9111,589.485183
05:30,0.4301,3579.7045,108.9718,3470.7327,578.45545
05:40,0.3713,3486.119,184.1603,3301.9587,550.32645
05:50,0.5708,3823.8994,277.0582,3546.8412,591.1402
06:00,0.9099,4398.0727,388.5494,4009.5233,668.253883
06:10,0.9368,4454.0123,521.2803,3932.732,655.455333
06:20,0.8758,4371.7919,672.7677,3699.0242,616.504033
06:30,0.8759,4392.953,844.2261,3548.7269,591.454483
06:40,0.8601,4384.5956,1039.6744,3344.9212,557.486867
06:50,0.8442,4434.7757,1259.3375,3175.4382,529.2397
07:00,0.8334,4523.4561,1508.6318,3014.8243,502.470717
07:10,0.8092,4524.0721,1791.4107,2732.6614,455.443567
07:20,0.7972,4545.8867,2085.4865,2460.4002,410.0667
07:30,0.7644,4523.2418,2381.2611,2141.9807,356.996783
07:40,0.6899,4383.3566,2683.1752,1700.1814,283.363567
07:50,0.86,4910.4599,2986.3552,1924.1047,320.684117
08:00,1.1617,5799.7327,3289.204,2510.5287,418.42145
08:10,1.1683,5884.826,3593.3613,2291.4647,381.910783
08:20,1.0956,5748.0713,3890.7332,1857.3381,309.55635
08:30,1.0849,5769.0581,4181.3417,1587.7164,264.6194
08:40,1.061,5754.2105,4471.7657,1282.4448,213.7408
08:50,1.043,5824.1807,4752.8272,1071.3535,178.558917
09:00,1.036,5954.2601,5021.9074,932.3527,155.392117
09:10,1.0147,5958.9696,5285.4126,673.557,112.2595
09:20,0.9922,5929.5554,5543.1742,386.3812,64.396867
09:30,0.97,5923.7828,5788.4093,135.3735,22.56225
09:40,0.9422,5907.586,6012.1304,-104.5444,-17.424067
09:50,0.9569,5899.1262,6216.1528,-317.0266,-52.837767
10:00,0.9977,5902.2196,6409.5941,-507.3745,-84.562417
10:10,0.9919,5897.4793,6599.3808,-701.9015,-116.983583
10:20,0.9588,5886.7568,6766.7204,-879.9636,-146.6606
10:30,0.9549,5873.4708,6914.5923,-1041.1215,-173.52025
10:40,0.9839,5858.0308,7064.2053,-1206.1745,-201.029083
10:50,0.799,5844.9948,7197.4315,-1352.4367,-225.406117
11:00,0.5025,5839.0587,7303.1142,-1464.0555,-244.00925
11:10,0.4662,5838.7103,7387.6848,-1548.9745,-258.162417
11:20,0.5007,5823.4378,7459.227,-1635.7892,-272.631533
11:30,0.4827,5814.7932,7520.7191,-1705.9259,-284.320983
11:40,0.4785,5832.3951,7568.2039,-1735.8088,-289.301467
11:50,0.4662,5712.901,7592.1539,-1879.2529,-313.208817
12:00,0.4432,5519.4607,7601.0433,-2081.5826,-346.930433
12:10,0.4411,5494.7907,7612.316,-2117.5253,-352.920883
12:20,0.4551,5514.4524,7602.6524,-2088.2,-348.033333
12:30,0.4463,5485.829,7554.1872,-2068.3582,-344.726367
12:40,0.4113,5462.3628,7472.7384,-2010.3756,-335.0626
12:50,0.5682,5566.1066,7393.4172,-1827.3106,-304.551767
13:00,0.8279,5725.7548,7312.7979,-1587.0431,-264.507183
13:10,0.8636,5739.4957,7194.541,-1455.0453,-242.50755
13:20,0.8416,5714.6836,7053.1371,-1338.4535,-223.075583
13:30,0.8618,5717.8505,6910.4064,-1192.5559,-198.759317
13:40,0.8623,5708.2486,6772.4075,-1064.1589,-177.359817
13:50,0.9026,5696.9182,6607.36,-910.4418,-151.7403
14:00,0.9754,5692.2983,6412.5085,-720.2102,-120.035033
14:10,1.0002,5687.1291,6214.0158,-526.8867,-87.81445
14:20,0.9978,5678.962,6000.7112,-321.7492,-53.624867
14:30,1.0271,5669.4508,5766.9816,-97.5308,-16.255133
14:40,1.0906,5664.1948,5521.5066,142.6882,23.781367
14:50,0.9376,5672.7011,5268.781,403.9201,67.320017
15:00,0.6694,5682.2544,5009.7152,672.5392,112.089867
15:10,0.66,5669.0195,4743.4484,925.5711,154.26185
15:20,0.7217,5656.3651,4471.224,1185.1411,197.523517
15:30,0.7308,5657.0867,4188.2025,1468.8842,244.814033
15:40,0.7534,5662.6008,3889.3931,1773.2077,295.534617
15:50,0.7823,5669.2596,3594.5946,2074.665,345.7775
16:00,0.8055,5673.4767,3303.8878,2369.5889,394.931483
16:10,0.8271,5671.0146,2998.4247,2672.5899,445.43165
16:20,0.8519,5661.5926,2687.4131,2974.1795,495.696583
16:30,0.8791,5665.8922,2383.1779,3282.7143,547.11905
16:40,0.9024,5689.0372,2089.1246,3599.9126,599.985433
16:50,0.9163,5603.6614,1791.0829,3812.5785,635.42975
17:00,0.9264,5466.7124,1501.7283,3964.9841,660.830683
17:10,0.9462,5467.3939,1255.1723,4212.2216,702.036933
17:20,0.9742,5464.727,1036.3323,4428.3947,738.065783
17:30,0.9862,5492.4458,836.7775,4655.6683,775.944717
17:40,0.976,5621.7308,665.2313,4956.4995,826.08325
17:50,1.0742,5091.2126,516.6758,4574.5368,762.4228
18:00,1.2313,4208.5688,386.6731,3821.8957,636.982617
18:10,1.2561,4122.7611,275.7933,3846.9678,641.1613
18:20,1.2447,4255.9358,182.9526,4072.9832,678.830533
18:30,1.2545,4225.9524,108.3414,4117.611,686.2685
18:40,1.2522,4233.3384,54.3121,4179.0263,696.504383
18:50,1.2881,4246.4625,18.6569,4227.8056,704.634267
19:00,1.3466,4239.1795,0.2753,4238.9042,706.484033
19:10,1.3523,4244.6684,0.2296,4244.4388,707.406467
19:20,1.3445,4251.9187,0.6007,4251.318,708.553
19:30,1.3483,4256.6813,0.0,4256.6813,709.446883
19:40,1.349,4267.3947,0.0,4267.3947,711.23245
19:50,1.3473,4269.975,0.0,4269.975,711.6625
20:00,1.3482,4268.6702,0.0,4268.6702,711.445033
20:10,1.3513,4282.2245,0.0,4282.2245,713.704083
20:20,1.34,4291.7049,0.0,4291.7049,715.28415
20:30,1.3489,4291.3611,0.0,4291.3611,715.22685
20:40,1.3952,4293.9182,0.0,4293.9182,715.653033
20:50,1.2226,4295.2135,0.0,4295.2135,715.868917
21:00,0.9332,4302.0307,0.0,4302.0307,717.005117
21:10,0.9068,4320.9618,0.0,4320.9618,720.1603
21:20,0.9371,4302.3292,0.0,4302.3292,717.054867
