variant,date,slot,natural_slot,clock,x,q,natural_x,natural_q,c,g,z,w,S,price_template,price_natural
2,2025-03-20,0,1,0:10,1374.275683333333,1374.275683333333,573.3533333333332,573.3533333333332,4.934999999999945,0.0,0.0,0.0,2041.4445049074109,0.4487,0.4495
2,2025-03-20,1,2,0:20,1399.4455833333332,1399.4455833333332,1374.275683333333,1374.275683333333,824.4308666666664,0.0,0.0,0.0,2783.4322849074106,0.4373,0.4311
2,2025-03-20,2,3,0:30,1412.2241666666664,1412.2241666666664,1399.4455833333332,1399.4455833333332,829.1320833333332,0.0,0.0,0.0,3529.6511599074106,0.4311,0.4344
2,2025-03-20,3,4,0:40,1405.4668666666666,1405.4668666666666,1412.2241666666664,1412.2241666666664,798.3724999999997,0.0,0.0,0.0,4248.18640990741,0.4344,0.4238
2,2025-03-20,4,5,0:50,1391.8410083333333,1391.8410083333333,1405.4668666666666,1405.4668666666666,826.0107,0.0,0.0,0.0,4991.59603990741,0.4238,0.4296
2,2025-03-20,5,6,1:00,1373.5691666666667,1373.5691666666667,1391.8410083333333,1391.8410083333333,833.3333333333333,0.0,0.0,8.062758333333477,5741.59603990741,0.4296,0.4989
2,2025-03-20,6,7,1:10,1381.7997666666665,1381.7997666666665,1373.5691666666667,1373.5691666666667,802.4125,0.0,0.0,0.0,6463.7672899074105,0.4989,0.5083
2,2025-03-20,7,8,1:20,1368.9867749999999,1368.9867749999999,1381.7997666666665,1381.7997666666665,780.2107166666666,0.0,0.0,0.0,7165.95693490741,0.5083,0.4468
2,2025-03-20,8,9,1:30,1365.4074999999998,1365.4074999999998,1368.9867749999999,1368.9867749999999,757.5030249999999,0.0,0.0,0.0,7847.709657407409,0.4468,0.4284
2,2025-03-20,9,10,1:40,587.1713249999999,587.1713249999999,1365.4074999999998,1365.4074999999998,767.1908333333331,0.0,0.0,0.0,8538.18140740741,0.4284,0.4436
2,2025-03-20,10,11,1:50,585.1769,585.1769,587.1713249999999,587.1713249999999,3.23537499999993,0.0,0.0,0.0,8541.09324490741,0.4436,0.454
2,2025-03-20,11,12,2:00,588.3978039473805,588.3978039473805,585.1769,585.1769,0.0,5.818149999999906,0.0,0.0,8534.6286337963,0.454,0.4404
2,2025-03-20,12,13,2:10,1059.4274322666074,1059.4274322666074,588.3978039473805,588.3978039473805,0.0,10.045529385952811,0.0,0.0,8523.466934478574,0.4404,0.4405
2,2025-03-20,13,14,2:20,592.5016333333333,592.5016333333333,1059.4274322666074,1059.4274322666074,493.4438155999408,0.0,0.0,0.0,8967.56636851852,0.4405,0.4545
2,2025-03-20,14,15,2:30,594.7375,594.7375,592.5016333333333,592.5016333333333,46.38086666666665,0.0,0.0,0.0,9009.309148518521,0.4545,0.4389
2,2025-03-20,15,16,2:40,623.6891583333334,623.6891583333334,594.7375,594.7375,29.02416666666662,0.0,0.0,0.0,9035.430898518522,0.4389,0.3868
2,2025-03-20,16,17,2:50,615.0678416666665,615.0678416666665,623.6891583333334,623.6891583333334,25.76259166666675,0.0,0.0,0.0,9058.617231018521,0.3868,0.3634
2,2025-03-20,17,18,3:00,607.4616666666666,607.4616666666666,615.0678416666665,615.0678416666665,14.11337499999988,0.0,0.0,0.0,9071.31926851852,0.3634,0.4416
2,2025-03-20,18,19,3:10,585.3815333333334,585.3815333333334,607.4616666666666,607.4616666666666,20.329999999999885,0.0,0.0,0.0,9089.61626851852,0.4416,0.4839
2,2025-03-20,19,20,3:20,562.642175,562.642175,585.3815333333334,585.3815333333334,0.0,19.82876666666655,0.0,0.0,9067.584305555558,0.4839,0.4574
2,2025-03-20,20,21,3:30,561.5616666666666,561.5616666666666,562.642175,562.642175,0.0,59.25020833333335,0.0,0.0,9001.750740740743,0.4574,0.4575
2,2025-03-20,21,22,3:40,610.363675,610.363675,561.5616666666666,561.5616666666666,0.0,58.60666666666674,0.0,0.0,8936.632222222224,0.4575,0.4629
2,2025-03-20,22,23,3:50,598.2069499999999,598.2069499999999,610.363675,610.363675,0.0,6.259408333333372,0.0,0.0,8929.677324074077,0.4629,0.4426
2,2025-03-20,23,24,4:00,604.3099999999998,604.3099999999998,598.2069499999999,598.2069499999999,0.0,14.256800000000007,0.0,0.0,8913.836435185189,0.4426,0.4023
2,2025-03-20,24,25,4:10,594.3479166666666,594.3479166666666,604.3099999999998,604.3099999999998,0.3799999999998924,0.0,0.0,0.0,8914.17843518519,0.4023,0.4075
2,2025-03-20,25,26,4:20,621.6727916666666,621.6727916666666,594.3479166666666,594.3479166666666,4.553283333333297,0.0,0.0,0.0,8918.276390185189,0.4075,0.452
2,2025-03-20,26,27,4:30,1403.0641666666666,1403.0641666666666,621.6727916666666,621.6727916666666,40.20874166666669,0.0,0.0,0.0,8954.46425768519,0.452,0.4646
2,2025-03-20,27,28,4:40,622.2290333333334,622.2290333333334,1403.0641666666666,1403.0641666666666,817.4791666666665,0.0,0.0,0.0,9690.19550768519,0.4646,0.4561
2,2025-03-20,28,29,4:50,606.2601916666667,606.2601916666667,622.2290333333334,622.2290333333334,22.503900000000062,0.0,0.0,0.0,9710.44901768519,0.4561,0.4379
2,2025-03-20,29,30,5:00,601.4866666666666,601.4866666666666,606.2601916666667,606.2601916666667,0.0,10.479124999999824,0.0,0.0,9698.805545462968,0.4379,0.4177
2,2025-03-20,30,31,5:10,618.013575,618.013575,601.4866666666666,601.4866666666666,0.0,24.108333333333462,0.0,0.0,9672.018508425932,0.4177,0.464
2,2025-03-20,31,32,5:20,605.282125,605.282125,618.013575,618.013575,0.0,1.4203416666667295,0.0,0.0,9670.440351018524,0.464,0.4802
2,2025-03-20,32,33,5:30,620.7708333333334,620.7708333333334,605.282125,605.282125,0.0,12.562274999999952,0.0,0.0,9656.48226768519,0.4802,0.352
2,2025-03-20,33,34,5:40,1391.1211833333332,1391.1211833333332,620.7708333333334,620.7708333333334,13.655833333333344,0.0,0.0,0.0,9668.77251768519,0.352,0.5794
2,2025-03-20,34,35,5:50,679.7234166666666,679.7234166666666,1391.1211833333332,1391.1211833333332,815.6911166666665,0.0,0.0,0.0,10402.89452268519,0.5794,1.0185
2,2025-03-20,35,36,6:00,7.498333333333335,7.498333333333335,679.7234166666666,679.7234166666666,8.260300000000036,0.0,0.0,0.0,10410.32879268519,1.0185,0.995
2,2025-03-20,36,37,6:10,0.0,0.0,7.498333333333335,7.498333333333335,0.0,819.5166666666667,0.0,0.0,9499.754718611115,0.995,0.8932
2,2025-03-20,37,38,6:20,0.0,0.0,0.0,0.0,0.0,791.9499333333334,0.0,0.0,8619.810348240744,0.8932,0.9281
2,2025-03-20,38,39,6:30,0.0,0.0,0.0,0.0,0.0,709.9633166666667,0.0,0.0,7830.962218611115,0.9281,0.9231
2,2025-03-20,39,40,6:40,0.0,0.0,0.0,0.0,0.0,671.3708333333333,0.0,0.0,7084.9946260185225,0.9231,0.902
