stage,publish_hour,up_kwh_42,down_kwh_42,up_kwh_43,down_kwh_43,up_cost_yuan_43,down_cost_yuan_43
0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.0,0.0,205616.35176952538,75512.62679663324,239494.660038119,23885.580772991027
2,12,0.0,0.0,203272.08865404973,203130.4020336475,211405.7180510664,62620.026869111185
3,18,0.0,0.0,182042.4811297593,23121.28293631763,332807.36648264306,8272.514818592777
