variant,method,reference_total_cost_yuan,alt_total_cost_yuan,total_gap_yuan,total_gap_pct,max_abs_daily_gap_yuan,days_with_gap_over_1yuan,elapsed_seconds
2,highs（主答案）,15202115.127496772,15202115.127496772,0.000000,0.000000,0.000000,0,125.54665939998813
3,highs（主答案）,13847794.940061364,13847794.940061364,0.000000,0.000000,0.000000,0,388.6564722000039
2,highs-ds,15202115.127496772,15202115.127496772,0.0,0.0,0.0,0,209.78789219999453
3,highs-ds,13847794.940061364,13847794.940061364,0.0,0.0,0.0,0,549.9009409999999
3,highs-ipm,13847794.940061364,13847794.940061362,-1.862645149230957e-09,-1.3450842948593684e-14,5.966285243630409e-10,0,1033.8424930000037
