band_lo,band_hi,intervals_42,intervals_43,kwh_42,kwh_43,cost_42,cost_43
0.0,0.2,300,0,0,0.0,0.0,0.0,0.0
0.2,0.4,5950,87,36,2535.004510693079,1173.851863079497,4495.983203120423,2011.7343450590538
0.4,0.6,14219,306,81,17420.165793778862,2905.5400744403296,44436.65418927357,6821.032008813365
0.6,0.8,6255,99,75,7543.90750213018,3881.19575149394,26776.237990959467,14509.895095591008
0.8,1.0,8758,315,254,16812.697932463172,10310.095302957687,78767.02256817366,48145.66409023332
1.0,1.2,6780,344,155,61712.22752297564,14842.111803592972,341978.32874805015,80373.50008801073
1.2,1.4,4575,262,43,113942.48048361135,7228.952030336732,740270.4531951388,45509.24063932839
1.4,1.6,794,62,16,30255.41511755401,1221.5704389444834,223875.08871654584,9045.251608757304
1.6,1.8,463,70,16,22616.174611809533,128.13511497570983,190612.38525788276,1078.6140469053933
