date,time_start,price_yuan_per_kwh,forecast_net_kwh,actual_net_kwh,committed_plan_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,emergency_kwh,surplus_kwh
2025-02-01,00:00,0.4276,447.5183333333333,423.96000000000004,422.7816666666667,0.0,1.1783333333333132,1903.9513453806594,1902.6420861214,0.0,0.0
2025-02-01,00:10,0.4248,449.518425,422.0303666666667,1253.5968416666665,831.5664749999999,0.0,1902.6420861214,2651.0519136213998,0.0,0.0
2025-02-01,00:20,0.4245,453.35499166666665,415.4073166666667,1254.9118749999998,833.3333333333333,0.0,2651.0519136213998,3401.0519136213998,0.0,6.171224999999822
2025-02-01,00:30,0.4269,459.645,410.7166666666667,1258.735,833.3333333333333,0.0,3401.0519136213998,4151.0519136214,0.0,14.684999999999945
2025-02-01,00:40,0.4272,453.1444916666667,430.29479999999995,1265.4002416666667,833.3333333333333,0.0,4151.0519136214,4901.0519136214,0.0,1.772108333333506
2025-02-01,00:50,0.4271,462.86943333333335,424.4105833333333,1303.4571999999998,833.3333333333333,0.0,4901.0519136214,5651.0519136214,0.0,45.713283333333266
2025-02-01,01:00,0.4285,463.35833333333335,406.0516666666666,1305.8283333333334,833.3333333333333,0.0,5651.0519136214,6401.0519136214,0.0,66.4433333333335
2025-02-01,01:10,0.4311,487.7711833333333,436.7501833333333,521.7317583333333,84.981575,0.0,6401.0519136214,6477.535331121399,0.0,0.0
2025-02-01,01:20,0.4302,489.62744166666664,451.7976833333333,1257.1709416666665,805.3732583333333,0.0,6477.535331121399,7202.3712636213995,0.0,0.0
2025-02-01,01:30,0.4279,463.7366666666667,446.08,1250.9741666666666,804.8941666666667,0.0,7202.3712636213995,7926.776013621399,0.0,0.0
2025-02-01,01:40,0.4312,487.18064166666665,471.7663333333333,484.72307499999994,12.956741666666655,0.0,7926.776013621399,7938.437081121399,0.0,0.0
2025-02-01,01:50,0.4333,500.54769166666665,448.02596666666665,527.9034083333333,79.8774416666667,0.0,7938.437081121399,8010.326778621399,0.0,0.0
2025-02-01,02:00,0.4311,502.0374999999999,397.4033333333333,904.8583480885259,507.45501475519256,0.0,8010.326778621399,8467.036291901073,0.0,0.0
2025-02-01,02:10,0.4293,497.52029166666665,434.0906333333333,1285.440625,833.3333333333333,0.0,8467.036291901073,9217.036291901073,0.0,18.016658333333396
2025-02-01,02:20,0.4324,504.8397083333333,490.5609166666666,523.3204083333334,32.75949166666675,0.0,9217.036291901073,9246.519834401073,0.0,0.0
2025-02-01,02:30,0.4367,506.79583333333335,503.22,532.7058333333334,29.48583333333338,0.0,9246.519834401073,9273.057084401073,0.0,0.0
2025-02-01,02:40,0.4348,507.8886333333333,474.07281666666665,513.2366833333333,39.16386666666662,0.0,9273.057084401073,9308.304564401073,0.0,0.0
2025-02-01,02:50,0.4335,510.0954333333333,461.38439999999997,528.0237333333333,66.63933333333334,0.0,9308.304564401073,9368.279964401072,0.0,0.0
2025-02-01,03:00,0.4357,517.3358333333333,476.94166666666666,569.4091666666666,92.4674999999999,0.0,9368.279964401072,9451.500714401072,0.0,0.0
2025-02-01,03:10,0.4374,519.8507166666666,483.39955,521.9283499999999,38.52879999999995,0.0,9451.500714401072,9486.176634401072,0.0,0.0
2025-02-01,03:20,0.4371,524.2876166666666,486.6019166666666,514.6803,28.07838333333335,0.0,9486.176634401072,9511.447179401071,0.0,0.0
2025-02-01,03:30,0.4356,524.6241666666666,498.84833333333336,524.4308333333332,25.582499999999882,0.0,9511.447179401071,9534.471429401072,0.0,0.0
2025-02-01,03:40,0.4353,514.4537333333333,518.3097333333333,535.9715833333333,17.6618500000001,0.0,9534.471429401072,9550.367094401072,0.0,0.0
2025-02-01,03:50,0.436,523.6317666666666,509.13346666666666,542.6748499999999,33.541383333333265,0.0,9550.367094401072,9580.554339401071,0.0,0.0
2025-02-01,04:00,0.4378,538.5366666666666,483.6166666666666,580.0666666666666,96.44999999999999,0.0,9580.554339401071,9667.359339401071,0.0,0.0
2025-02-01,04:10,0.4401,527.7475916666666,491.1868,551.4470416666667,60.26024166666669,0.0,9667.359339401071,9721.59355690107,0.0,0.0
2025-02-01,04:20,0.4389,518.2410749999999,504.64528333333334,531.9940083333332,27.34872499999984,0.0,9721.59355690107,9746.207409401071,0.0,0.0
2025-02-01,04:30,0.4364,530.8683333333333,505.57833333333326,573.8038570440749,68.22552371074164,0.0,9746.207409401071,9807.610380740738,0.0,0.0
2025-02-01,04:40,0.4393,542.5308166666666,503.23096666666663,574.8241083333332,71.59314166666663,0.0,9807.610380740738,9872.044208240737,0.0,0.0
2025-02-01,04:50,0.4422,548.6891666666666,502.84675000000004,597.6770833333331,94.83033333333312,0.0,9872.044208240737,9957.391508240737,0.0,0.0
2025-02-01,05:00,0.4395,552.8666666666666,499.64166666666665,552.4199999999998,52.77833333333321,0.0,9957.391508240737,10004.892008240737,0.0,0.0
2025-02-01,05:10,0.4333,550.7459083333333,488.78358333333335,573.8304416666667,85.04685833333338,0.0,10004.892008240737,10081.434180740736,0.0,0.0
2025-02-01,05:20,0.4439,557.2784666666666,498.51543333333336,562.4490333333333,63.933599999999906,0.0,10081.434180740736,10138.974420740737,0.0,0.0
