policy,date,time_start,price_yuan_per_kwh,initial_plan_kwh,final_contract_kwh,adjustment_fee_yuan,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,actual_net_kwh,emergency_kwh,surplus_kwh
6+12+18,2025-02-19,08:20,1.0956,0.0,0.0,0.0,0.0,609.2567222222223,6656.2116912037045,5979.259777623458,594.5128833333333,0.0,14.743838888888945
6+12+18,2025-02-19,08:30,1.0849,0.0,0.0,0.0,0.0,587.3007499999998,5979.259777623458,5326.70338873457,571.9549999999999,0.0,15.345749999999839
6+12+18,2025-02-19,08:40,1.061,0.0,0.0,0.0,0.0,540.5593277777776,5326.70338873457,4726.081913425928,541.3657000000001,0.8063722222224214,0.0
6+12+18,2025-02-19,08:50,1.043,0.0,0.0,0.0,0.0,471.4838805555556,4726.081913425928,4202.2109350308665,497.34776666666676,25.863886111111185,0.0
6+12+18,2025-02-19,09:00,1.036,0.0,0.0,0.0,0.0,412.76840000000004,4202.2109350308665,3743.579379475311,446.2295833333334,33.46118333333334,0.0
6+12+18,2025-02-19,09:10,1.0147,0.0,0.0,0.0,0.0,373.8419111111111,3743.579379475311,3328.199478240743,392.24685,18.40493888888892,0.0
6+12+18,2025-02-19,09:20,0.9922,0.0,0.0,0.0,0.0,356.84141111111086,3328.199478240743,2931.7090214506197,343.4166166666667,0.0,13.42479444444416
6+12+18,2025-02-19,09:30,0.97,0.0,0.0,0.0,0.0,302.6376166666666,2931.7090214506197,2595.4450029321015,295.7350000000001,0.0,6.902616666666461
6+12+18,2025-02-19,09:40,0.9422,0.0,0.0,0.0,0.0,271.104038888889,2595.4450029321015,2294.218293055558,244.2303166666667,0.0,26.873722222222312
6+12+18,2025-02-19,09:50,0.9569,0.0,0.0,0.0,0.0,205.0406999999997,2294.218293055558,2066.3952930555583,228.25259999999994,23.21190000000024,0.0
6+12+18,2025-02-19,10:00,0.9977,0.0,0.0,0.0,0.0,148.05469999999997,2066.3952930555583,1901.8900708333363,211.66666666666666,63.61196666666669,0.0
6+12+18,2025-02-19,10:10,0.9919,0.0,0.0,0.0,0.0,121.6587805555555,1901.8900708333363,1766.7136479938301,119.12906666666655,0.0,2.529713888888949
6+12+18,2025-02-19,10:20,0.9588,0.0,0.0,0.0,0.0,98.74389722222243,1766.7136479938301,1656.9982066358052,59.34381666666665,0.0,39.40008055555578
6+12+18,2025-02-19,10:30,0.9549,0.0,0.0,0.0,0.0,31.32656666666663,1656.9982066358052,1622.190910339509,52.54708333333322,21.22051666666659,0.0
6+12+18,2025-02-19,10:40,0.9839,0.0,0.0,0.0,14.6197861111112,0.0,1622.190910339509,1635.348717839509,12.679799999999886,27.299586111111086,0.0
6+12+18,2025-02-19,10:50,0.799,0.0,0.0,0.0,48.9252496227679,0.0,1635.348717839509,1679.3814425,-31.310866666666698,17.614382956101203,0.0
6+12+18,2025-02-19,11:00,0.5025,707.8461166666664,726.5860166666664,14.125199625000024,833.3333333333333,0.0,1679.3814425,2429.3814425,-55.33916666666664,51.408150000000205,0.0
6+12+18,2025-02-19,11:10,0.4662,691.3379722222222,691.3379722222222,0.0,833.3333333333333,0.0,2429.3814425,3179.3814425,-75.24381666666659,66.75154444444445,0.0
6+12+18,2025-02-19,11:20,0.5007,680.3672111111109,680.3672111111109,0.0,833.3333333333333,0.0,3179.3814425,3929.3814425,-123.52850000000004,29.437622222222302,0.0
6+12+18,2025-02-19,11:30,0.4827,662.6505083333332,662.6505083333332,0.0,833.3333333333333,0.0,3929.3814425,4679.3814425,-176.70916666666668,0.0,6.026341666666582
6+12+18,2025-02-19,11:40,0.4785,629.5761972222222,630.331447222222,0.54208068749987,833.3333333333333,0.0,4679.3814425,5429.3814425,-183.14973333333333,19.852152777777945,0.0
6+12+18,2025-02-19,11:50,0.4662,601.4593694444444,601.4593694444444,0.0,833.3333333333333,0.0,5429.3814425,6179.3814425,-212.85491666666667,19.019047222222184,0.0
6+12+18,2025-02-19,12:00,0.4432,578.4966166666667,586.6090499999998,5.393145679999854,833.3333333333333,0.0,6179.3814425,6929.3814425,-257.16708333333327,0.0,10.442799999999806
6+12+18,2025-02-19,12:10,0.4411,545.4808805555554,595.3797027777778,33.015555723333456,833.3333333333333,0.0,6929.3814425,7679.3814425,-234.40883333333323,3.5447972222222575,0.0
6+12+18,2025-02-19,12:20,0.4551,546.7104916666664,600.2387138888887,36.54104090000007,833.3333333333333,0.0,7679.3814425,8429.3814425,-206.9533333333332,26.141286111111356,0.0
6+12+18,2025-02-19,12:30,0.4463,545.4107166666669,630.7261416666668,57.11441126624993,833.3333333333333,0.0,8429.3814425,9179.3814425,-210.94791666666666,0.0,8.340725000000162
6+12+18,2025-02-19,12:40,0.4113,575.7735722222221,685.1935,67.50662444250004,833.3333333333333,0.0,9179.3814425,9929.3814425,-212.92728333333326,0.0,64.78744999999998
6+12+18,2025-02-19,12:50,0.5682,643.4005833333331,729.6265861111111,73.49042216750023,833.3333333333333,0.0,9929.3814425,10679.3814425,-158.55656666666664,0.0,54.849819444444506
6+12+18,2025-02-19,13:00,0.8279,0.0,0.0,0.0,44.58498333333303,0.0,10679.3814425,10719.507927499999,-75.50708333333326,0.0,30.922100000000228
6+12+18,2025-02-19,13:10,0.8636,0.0,0.0,0.0,37.27990555555546,0.0,10719.507927499999,10753.059842499999,-44.54136666666666,0.0,7.261461111111203
6+12+18,2025-02-19,13:20,0.8416,0.0,0.0,0.0,22.011666666666464,0.0,10753.059842499999,10772.870342499999,-15.883900000000114,6.12776666666635,0.0
6+12+18,2025-02-19,13:30,0.8618,0.0,0.0,0.0,9.349891666666736,0.0,10772.870342499999,10781.285245,20.96375000000004,30.313641666666776,0.0
6+12+18,2025-02-19,13:40,0.8623,0.0,55.86254722222213,72.25541170458322,0.0,0.0,10781.285245,10781.285245,23.075883333333422,0.0,32.78666388888871
6+12+18,2025-02-19,13:50,0.9026,0.0,0.0,0.0,0.0,79.99401944444449,10781.285245,10692.40300117284,24.070650000000114,0.0,55.923369444444376
6+12+18,2025-02-19,14:00,0.9754,0.0,0.0,0.0,0.0,111.61359999999982,10692.40300117284,10568.387890061727,50.00583333333331,0.0,61.607766666666514
6+12+18,2025-02-19,14:10,1.0002,0.0,0.0,0.0,0.0,152.96486388888889,10568.387890061727,10398.426930185184,97.51168333333331,0.0,55.453180555555576
6+12+18,2025-02-19,14:20,0.9978,0.0,0.0,0.0,0.0,198.94430277777775,10398.426930185184,10177.377704876542,155.15746666666655,0.0,43.7868361111112
6+12+18,2025-02-19,14:30,1.0271,0.0,0.0,0.0,0.0,231.7870499999999,10177.377704876542,9919.836538209876,202.09041666666658,0.0,29.696633333333324
6+12+18,2025-02-19,14:40,1.0906,0.0,0.0,0.0,0.0,300.03855833333324,9919.836538209876,9586.460362283951,223.73726666666667,0.0,76.30129166666657
6+12+18,2025-02-19,14:50,0.9376,0.0,0.0,0.0,0.0,346.78046666666637,9586.460362283951,9201.148732654323,259.69646666666677,0.0,87.0839999999996
6+12+18,2025-02-19,15:00,0.6694,1008.1026363511646,1212.1546666666666,204.8886436397955,833.3333333333333,0.0,9201.148732654323,9951.148732654323,322.67041666666665,0.0,56.15091666666666
6+12+18,2025-02-19,15:10,0.66,1228.0275694444445,1228.0275694444445,0.0,833.3333333333333,0.0,9951.148732654323,10701.148732654323,385.45418333333333,0.0,9.240052777777862
6+12+18,2025-02-19,15:20,0.7217,424.21332500000005,531.0320692729746,115.63663161270857,109.8347414951968,0.0,10701.148732654323,10800.0,424.8162333333333,3.6189055555555,0.0
6+12+18,2025-02-19,15:30,0.7308,465.75714166666654,471.721075,6.537663720000121,-0.0,0.0,10800.0,10800.0,453.25499999999994,0.0,18.466075000000046
6+12+18,2025-02-19,15:40,0.7534,468.95680277777785,504.2630333333335,39.899571150833445,0.0,0.0,10800.0,10800.0,499.0090333333333,0.0,5.25400000000019
6+12+18,2025-02-19,15:50,0.7823,518.2718138888889,539.2443222222221,24.610189903749802,0.0,0.0,10800.0,10800.0,520.01685,0.0,19.227472222222104
6+12+18,2025-02-19,16:00,0.8055,570.3141666666668,581.9303666666667,14.035273649999922,0.0,0.0,10800.0,10800.0,545.0920833333332,0.0,36.83828333333349
6+12+18,2025-02-19,16:10,0.8271,568.9719583333334,606.4867166666666,46.542684926249756,0.0,0.0,10800.0,10800.0,641.79555,35.308833333333496,0.0
6+12+18,2025-02-19,16:20,0.8519,638.2508777777779,676.8662055555554,49.34459660083306,0.0,0.0,10800.0,10800.0,685.2317166666664,8.365511111111005,0.0
6+12+18,2025-02-19,16:30,0.8791,720.374625,738.0659416666667,23.328654722500033,0.0,0.0,10800.0,10800.0,680.3104166666666,0.0,57.75552500000015
6+12+18,2025-02-19,16:40,0.9024,742.522222222222,762.761952777778,27.396499280000572,0.0,-0.0,10800.0,10800.0,757.9413166666666,0.0,4.820636111111412
6+12+18,2025-02-19,16:50,0.9163,802.811938888889,820.6632169999991,24.535689199815284,0.0,3.0212691111119057,10800.0,10796.643034320987,841.0004166666665,17.315930555555497,0.0
6+12+18,2025-02-19,17:00,0.9264,903.8984833333333,903.8984833333333,0.0,1.0322166666666135,0.0,10796.643034320987,10797.572029320987,879.1520833333334,0.0,23.714183333333267
6+12+18,2025-02-19,17:10,0.9462,936.1707472222222,936.1707472222222,0.0,0.0,2.154513888888914,10797.572029320987,10795.178124999999,905.5443499999999,0.0,32.78091111111121
6+12+18,2025-02-19,17:20,0.9742,953.4640194444443,953.4640194444443,0.0,0.0,5.892813888889009,10795.178124999999,10788.630554012345,961.5701666666666,2.2133333333333667,0.0
6+12+18,2025-02-19,17:30,0.9862,1002.4946833333333,1002.4946833333333,0.0,9.078750000000127,0.0,10788.630554012345,10796.801429012345,1029.7483333333332,36.33240000000001,0.0
