policy,date,time_start,price_yuan_per_kwh,initial_plan_kwh,final_contract_kwh,adjustment_fee_yuan,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,actual_net_kwh,emergency_kwh,surplus_kwh
6+12+18,2025-02-01,00:00,0.4276,466.76416666666665,466.76416666666665,0.0,-0.0,0.0,1199.9999999999989,1199.9999999999989,423.96000000000004,0.0,42.80416666666662
6+12+18,2025-02-01,00:10,0.4248,1282.9043416666666,1282.9043416666666,0.0,833.3333333333333,0.0,1199.9999999999989,1949.9999999999989,422.0303666666667,0.0,27.54064166666666
6+12+18,2025-02-01,00:20,0.4245,1275.4859583333334,1275.4859583333334,0.0,833.3333333333333,0.0,1949.9999999999989,2699.999999999999,415.4073166666667,0.0,26.74530833333347
6+12+18,2025-02-01,00:30,0.4269,1305.0658333333333,1305.0658333333333,0.0,833.3333333333333,0.0,2699.999999999999,3449.999999999999,410.7166666666667,0.0,61.015833333333376
6+12+18,2025-02-01,00:40,0.4272,1313.9163583333332,1313.9163583333332,0.0,833.3333333333333,0.0,3449.999999999999,4199.999999999999,430.29479999999995,0.0,50.288224999999954
6+12+18,2025-02-01,00:50,0.4271,1331.6732666666667,1331.6732666666667,0.0,833.3333333333333,0.0,4199.999999999999,4949.999999999999,424.4105833333333,0.0,73.92935000000011
6+12+18,2025-02-01,01:00,0.4285,1330.7716666666665,1330.7716666666665,0.0,833.3333333333333,0.0,4949.999999999999,5699.999999999999,406.0516666666666,0.0,91.38666666666666
6+12+18,2025-02-01,01:10,0.4311,1167.5112000000008,1167.5112000000008,0.0,666.6666666666677,0.0,5699.999999999999,6300.0,436.7501833333333,0.0,64.09434999999985
6+12+18,2025-02-01,01:20,0.4302,1318.1285249999999,1318.1285249999999,0.0,833.3333333333333,0.0,6300.0,7050.0,451.7976833333333,0.0,32.997508333333315
6+12+18,2025-02-01,01:30,0.4279,1324.1366666666665,1324.1366666666665,0.0,833.3333333333333,0.0,7050.0,7800.0,446.08,0.0,44.7233333333333
6+12+18,2025-02-01,01:40,0.4312,497.4093583333333,497.4093583333333,0.0,0.0,0.0,7800.0,7800.0,471.7663333333333,0.0,25.643024999999966
6+12+18,2025-02-01,01:50,0.4333,511.48474166666665,511.48474166666665,0.0,0.0,0.0,7800.0,7800.0,448.02596666666665,0.0,63.458775
6+12+18,2025-02-01,02:00,0.4311,1359.8641666666665,1359.8641666666665,0.0,833.3333333333333,0.0,7800.0,8550.0,397.4033333333333,0.0,129.12749999999994
6+12+18,2025-02-01,02:10,0.4293,1343.1068083333332,1343.1068083333332,0.0,833.3333333333333,0.0,8550.0,9300.0,434.0906333333333,0.0,75.68284166666666
6+12+18,2025-02-01,02:20,0.4324,523.3204083333334,523.3204083333334,0.0,0.0,0.0,9300.0,9300.0,490.5609166666666,0.0,32.75949166666675
6+12+18,2025-02-01,02:30,0.4367,526.4441666666667,526.4441666666667,0.0,0.0,0.0,9300.0,9300.0,503.22,0.0,23.224166666666633
6+12+18,2025-02-01,02:40,0.4348,513.2366833333333,513.2366833333333,0.0,0.0,0.0,9300.0,9300.0,474.07281666666665,0.0,39.16386666666665
6+12+18,2025-02-01,02:50,0.4335,528.0237333333333,528.0237333333333,0.0,0.0,0.0,9300.0,9300.0,461.38439999999997,0.0,66.63933333333335
6+12+18,2025-02-01,03:00,0.4357,533.88,533.88,0.0,0.0,0.0,9300.0,9300.0,476.94166666666666,0.0,56.93833333333333
6+12+18,2025-02-01,03:10,0.4374,522.2515499999998,522.2515499999998,0.0,0.0,0.0,9300.0,9300.0,483.39955,0.0,38.85199999999986
6+12+18,2025-02-01,03:20,0.4371,527.68405,527.68405,0.0,0.0,0.0,9300.0,9300.0,486.6019166666666,0.0,41.08213333333333
6+12+18,2025-02-01,03:30,0.4356,528.2216666666666,528.2216666666666,0.0,0.0,0.0,9300.0,9300.0,498.84833333333336,0.0,29.37333333333322
6+12+18,2025-02-01,03:40,0.4353,524.7456083333333,524.7456083333333,0.0,0.0,0.0,9300.0,9300.0,518.3097333333333,0.0,6.43587500000001
6+12+18,2025-02-01,03:50,0.436,541.5086166666666,541.5086166666666,0.0,0.0,0.0,9300.0,9300.0,509.13346666666666,0.0,32.37514999999996
6+12+18,2025-02-01,04:00,0.4378,565.4858333333333,565.4858333333333,0.0,0.0,0.0,9300.0,9300.0,483.6166666666666,0.0,81.86916666666667
6+12+18,2025-02-01,04:10,0.4401,549.5443416666666,549.5443416666666,0.0,0.0,0.0,9300.0,9300.0,491.1868,0.0,58.35754166666658
6+12+18,2025-02-01,04:20,0.4389,539.2541416666667,539.2541416666667,0.0,0.0,0.0,9300.0,9300.0,504.64528333333334,0.0,34.60885833333333
6+12+18,2025-02-01,04:30,0.4364,564.615,564.615,0.0,0.0,0.0,9300.0,9300.0,505.57833333333326,0.0,59.03666666666675
6+12+18,2025-02-01,04:40,0.4393,569.5606499999999,569.5606499999999,0.0,0.0,0.0,9300.0,9300.0,503.23096666666663,0.0,66.32968333333326
6+12+18,2025-02-01,04:50,0.4422,574.3894999999998,574.3894999999998,0.0,0.0,0.0,9300.0,9300.0,502.84675,0.0,71.54274999999978
6+12+18,2025-02-01,05:00,0.4395,552.4199999999998,552.4199999999998,0.0,0.0,0.0,9300.0,9300.0,499.64166666666665,0.0,52.778333333333194
6+12+18,2025-02-01,05:10,0.4333,563.812825,563.812825,0.0,0.0,0.0,9300.0,9300.0,488.78358333333335,0.0,75.02924166666662
6+12+18,2025-02-01,05:20,0.4439,592.5818916666666,592.5818916666666,0.0,0.0,0.0,9300.0,9300.0,498.51543333333336,0.0,94.06645833333323
6+12+18,2025-02-01,05:30,0.4301,1413.6991666666668,1413.6991666666668,0.0,833.3333333333333,0.0,9300.0,10050.0,529.2233333333334,0.0,51.142500000000155
6+12+18,2025-02-01,05:40,0.3713,1418.279658333333,1418.279658333333,0.0,833.3333333333333,0.0,10050.0,10800.0,547.4103166666666,0.0,37.53600833333303
6+12+18,2025-02-01,05:50,0.5708,579.806425,579.806425,0.0,0.0,-0.0,10800.0,10800.0,531.1811666666666,0.0,48.62525833333336
6+12+18,2025-02-01,06:00,0.9099,0.0,0.0,0.0,0.0,590.8174666666666,10800.0,10143.536148148149,510.98333333333335,0.0,79.83413333333328
6+12+18,2025-02-01,06:10,0.9368,0.0,0.0,0.0,0.0,571.6955499999998,10143.536148148149,9508.31887037037,535.1871833333332,0.0,36.508366666666575
