policy,issues,release_count,adjustment_count,adjustment_days,total_cost_yuan,saving_yuan,saving_pct,emergency_kwh,emergency_cost_yuan,settlement_cost_yuan,planned_purchase_kwh,final_contract_kwh,increase_kwh,decrease_kwh,adjustment_fee_yuan,refund_total_cost_yuan,refund_minus_primary_yuan,refund_saving_pct,recommended,rank_primary,rank_refund
none,仅0:00,334,0,0,14932806.397868,0.000000,0.000000,335575.624448,1280864.370682,13651942.027186,22315498.599182,22315498.599182,0.000000,0.000000,0.000000,14932806.397868,0.000000,0.000000,False,8,8
6,6:00,668,197,197,14787207.648507,145598.749362,0.975026,229797.998171,891446.288512,13895761.359994,22310036.117069,22560183.578010,250147.460941,0.000000,246161.859670,14671533.108706,-115674.539801,1.749660,False,6,6
12,12:00,668,170,170,14786018.205349,146788.192519,0.982991,265883.528245,1016566.751896,13769451.453453,22304672.148009,22421128.364169,116456.216161,0.000000,122153.112197,14648418.689321,-137599.516027,1.904449,False,5,4
18,18:00,668,88,88,14919737.354266,13069.043602,0.087519,332426.417128,1261416.662646,13658320.691620,22300428.331934,22308793.034693,8364.702759,0.000000,12849.537952,14918901.628534,-835.725732,0.093116,False,7,7
6+12,6:00、12:00,1002,331,231,14749689.429845,183116.968023,1.226273,211119.975923,812814.398753,13936875.031092,22304270.053902,22593244.256534,288974.202632,0.000000,289749.035663,14485906.570985,-263782.858860,2.992738,True,2,2
6+18,6:00、18:00,1002,268,222,14775668.222827,157138.175041,1.052302,226468.667664,873028.827449,13902639.395379,22301755.042886,22558829.538995,257074.496108,0.000000,256598.099648,14658547.785012,-117120.437816,1.836618,False,3,5
12+18,12:00、18:00,1002,227,185,14779775.941301,153030.456567,1.024794,264211.021817,1006726.914664,13773049.026637,22301938.158812,22421470.601056,119532.442244,0.000000,126929.080577,14641957.713500,-137818.227801,1.947716,False,4,3
6+12+18,6:00、12:00、18:00,1336,379,239,14743406.768488,189399.629380,1.268346,209501.657586,803311.819665,13940094.948823,22301486.466534,22593339.574143,291853.107609,0.000000,294168.466685,14479571.997811,-263834.770677,3.035159,True,1,1
