policy,date,settlement_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
none,2025-02-01,26088.8720780176,104.15508333333318,458.6806371958319,26547.55271521343,1200.0000000000005,1200.000000000001
none,2025-02-02,60214.136163609815,23.185899999999947,138.30674432083316,60352.44290793065,1200.000000000001,1200.0
none,2025-02-03,61859.72403858277,25.458341666666684,113.91799154166691,61973.642030124436,1200.0,1200.0
none,2025-02-04,63595.87754748333,78.25397500000008,231.68091732916673,63827.5584648125,1200.0,1200.0000000000002
none,2025-02-05,59290.73907373643,275.36651666666666,951.8416276833323,60242.58070141976,1200.0000000000002,1199.999999999999
none,2025-02-06,63468.412003855825,51.133044444443755,262.99850718471885,63731.41051104054,1199.999999999999,1200.0000000000014
none,2025-02-07,25769.301754103522,77.32540833333337,395.0967801375005,26164.398534241023,1200.0000000000014,1199.9999999999998
none,2025-02-08,19514.76478543259,1424.438561111112,6088.717092626392,25603.481878058985,1199.9999999999998,1200.0000000000002
none,2025-02-09,54631.73848304753,1838.3193083333338,7422.594116023612,62054.33259907114,1200.0000000000002,1200.0000000000023
none,2025-02-10,52291.88642288012,401.0513027777773,1563.4597756444427,53855.34619852456,1200.0000000000023,1200.000000000001
none,2025-02-11,56526.38696173966,273.6274805555553,1016.3588751652783,57542.74583690494,1200.000000000001,1200.0000000000034
none,2025-02-12,55923.64309012028,136.77210555555564,571.0119896625007,56494.65507978278,1200.0000000000034,1200.0000000000039
none,2025-02-13,51905.99384961638,95.0216305555549,223.69269625138656,52129.68654586777,1200.0000000000039,1200.0
none,2025-02-14,20156.628769493364,582.8962750000001,2376.8821172166686,22533.51088671003,1200.0,1199.999999999999
none,2025-02-15,19869.689127379384,785.1787972222226,3470.502449420833,23340.191576800218,1199.999999999999,1200.0000000000043
none,2025-02-16,53700.63175228604,656.0926222222213,2440.113036933329,56140.74478921937,1200.0000000000043,1200.0000000000014
none,2025-02-17,53352.66244291018,344.7995499999994,1382.8557860958308,54735.51822900601,1200.0000000000014,1200.000000000005
none,2025-02-18,47465.197318691826,2638.228983333332,9281.884293311105,56747.081612002934,1200.000000000005,1200.0000000000005
none,2025-02-19,47763.15746189568,2070.7287138888896,7246.941703384723,55010.0991652804,1200.0000000000005,1200.0000000000005
none,2025-02-20,50212.94787508488,432.3004416666664,1721.4600328902757,51934.407907975154,1200.0000000000005,1200.0000000000011
none,2025-02-21,18290.919228801977,873.7147138888881,3198.851610329164,21489.77083913114,1200.0000000000011,1200.0000000000002
none,2025-02-22,18297.74997701648,973.677980555555,3546.505755827776,21844.255732844256,1200.0000000000002,1200.000000000004
none,2025-02-23,49271.005971347,1477.2715527777814,6104.15089525557,55375.15686660256,1200.000000000004,1199.9999999999998
none,2025-02-24,47712.32611538007,1470.568633333334,4510.1002007638945,52222.42631614397,1199.9999999999998,1200.000000000001
none,2025-02-25,49031.00846873061,530.3976916666671,1706.0935641875014,50737.10203291811,1200.000000000001,1200.0000000000045
none,2025-02-26,44747.34444436078,1934.5408472222193,7221.8271291986,51969.17157355938,1200.0000000000045,1200.000000000005
none,2025-02-27,45886.19982400851,743.7611888888879,3322.3491081611064,49208.548932169615,1200.000000000005,1200.0000000000002
none,2025-02-28,18175.359052153053,407.61413888888876,1445.5543197569446,19620.91337191,1200.0000000000002,1200.0000000000005
none,2025-03-01,20478.40079518799,122.72936944444376,512.612621795831,20991.01341698382,1200.0000000000005,1200.0
none,2025-03-02,52181.43586520759,256.2769277777777,1202.7502259958337,53384.186091203424,1200.0,1199.9999999999995
none,2025-03-03,53693.608570843106,783.8611166666662,3344.0272923847215,57037.63586322783,1199.9999999999995,1200.0000000000005
none,2025-03-04,47591.979312714844,953.1204916666671,3497.9517877583366,51089.93110047318,1200.0000000000005,1200.0000000000025
none,2025-03-05,50263.53607626112,71.05989999999997,276.9656334458331,50540.50170970696,1200.0000000000025,1200.0000000000023
none,2025-03-06,46799.23203398409,239.8777138888887,970.875393290278,47770.107427274364,1200.0000000000023,1199.9999999999995
none,2025-03-07,18844.9984993815,119.13836666666714,294.9675951791679,19139.96609456067,1199.9999999999995,1199.9999999999993
none,2025-03-08,17444.30303035926,127.91189722222242,355.08198763055634,17799.385017989818,1199.9999999999993,1199.9999999999995
none,2025-03-09,48525.704861793216,335.2758138888894,1634.4132984319458,50160.11816022516,1199.9999999999995,1200.000000000004
none,2025-03-10,45959.57680387839,896.928033333334,3934.638025202781,49894.214829081175,1200.000000000004,1200.0
none,2025-03-11,41248.54821748696,3369.8417083333325,12118.228499068051,53366.77671655501,1200.0,1200.0000000000011
none,2025-03-12,46802.12102485393,344.4339666666666,861.5574972958336,47663.67852214976,1200.0000000000011,1200.0000000000016
none,2025-03-13,47306.18996675176,996.4618194444444,4289.068742565278,51595.25870931704,1200.0000000000016,1200.0000000000014
none,2025-03-14,16600.212977132724,379.5706277777784,1481.7810295069467,18081.99400663967,1200.0000000000014,1199.9999999999998
none,2025-03-15,16132.705932363191,744.32953888889,2817.823588737504,18950.529521100696,1199.9999999999998,1200.000000000001
none,2025-03-16,44693.15661297043,770.8988166666661,3003.092515811109,47696.249128781536,1200.000000000001,1200.0000000000018
none,2025-03-17,41111.95820963721,1037.7203277777785,4236.9254616847265,45348.883671321935,1200.0000000000018,1200.0000000000023
none,2025-03-18,47567.6647336011,197.46267222222173,568.7208954305543,48136.385629031654,1200.0000000000023,1200.0
none,2025-03-19,39542.48236391751,1600.9659083333343,5593.254811718058,45135.737175635564,1200.0,1200.0000000000014
none,2025-03-20,44352.91040779016,1624.128302777778,6010.703575897222,50363.61398368738,1200.0000000000014,1199.9999999999995
none,2025-03-21,15768.499622249208,358.2088472222222,1261.2991106694437,17029.79873291865,1199.9999999999995,1200.000000000001
none,2025-03-22,16315.653561428591,307.54229166666653,694.5983988208332,17010.251960249425,1200.000000000001,1200.0000000000005
none,2025-03-23,45606.11484069111,466.12636111111124,1607.0613174513894,47213.1761581425,1200.0000000000005,1200.000000000002
none,2025-03-24,42615.27123949665,467.94670555555496,1389.639880312498,44004.91111980915,1200.000000000002,1200.0
none,2025-03-25,47603.21581220739,443.8886249999997,1469.2004856736107,49072.416297881,1200.0,1200.0000000000005
none,2025-03-26,40949.89182370776,519.5610999999999,1903.2788535722227,42853.17067727998,1200.0000000000005,1200.0
none,2025-03-27,43047.87882982149,398.6605527777773,1079.6280002666647,44127.50683008816,1200.0,1200.000000000005
none,2025-03-28,15791.707179553036,296.77879166666685,1089.315225087501,16881.022404640535,1200.000000000005,1200.0000000000045
none,2025-03-29,14913.70642816711,518.5406972222221,2202.3842578111107,17116.09068597822,1200.0000000000045,1200.0000000000014
none,2025-03-30,41444.50224791299,762.8598111111105,2614.2589811013872,44058.76122901438,1200.0000000000014,1200.0000000000007
none,2025-03-31,36697.146708950895,2637.3618777777756,9285.397801262494,45982.54451021339,1200.0000000000007,1200.0
none,2025-04-01,43014.276340194774,768.513333333334,2899.729735059725,45914.006075254496,1200.0,1200.0000000000036
none,2025-04-02,42354.28068468402,531.213269444444,1992.869161997218,44347.14984668123,1200.0000000000036,1200.0000000000005
none,2025-04-03,43818.22839933143,281.6233388888891,823.3007926305563,44641.529191961985,1200.0000000000005,1200.0000000000032
none,2025-04-04,14687.545392207712,176.77333333333328,674.3881032416666,15361.933495449379,1200.0000000000032,1199.9999999999993
none,2025-04-05,14422.668910504945,1494.5132361111116,6304.652949918058,20727.321860423002,1199.9999999999993,1200.0000000000016
none,2025-04-06,39382.28081391259,229.59572777777706,921.4557234624951,40303.73653737509,1200.0000000000016,1200.000000000001
none,2025-04-07,36080.69695955494,1405.4733638888886,4873.185640031943,40953.88259958688,1200.000000000001,1199.9999999999998
none,2025-04-08,41038.850306614055,334.56744722222237,1585.5841362222213,42624.434442836275,1199.9999999999998,1200.0000000000005
none,2025-04-09,40366.85399646794,2888.9001611111094,11120.082559693048,51486.93655616099,1200.0000000000005,1200.0000000000014
none,2025-04-10,40033.545167481956,351.28243055555566,1498.2824930694446,41531.827660551404,1200.0000000000014,1200.0000000000014
none,2025-04-11,13781.035412156985,737.584675000001,2990.7693217013925,16771.80473385838,1200.0000000000014,1200.0
none,2025-04-12,15133.065568392562,127.51844444444436,465.05077844861006,15598.116346841172,1200.0,1200.0000000000027
none,2025-04-13,39086.04587321367,134.82984722222255,564.8260220888908,39650.87189530256,1200.0000000000027,1200.0000000000018
none,2025-04-14,40808.334294192246,365.0161666666666,1412.2557761374999,42220.590070329745,1200.0000000000018,1200.0000000000036
none,2025-04-15,35507.25428130246,547.6352250000011,2375.248980844449,37882.503262146914,1200.0000000000036,1200.0000000000014
none,2025-04-16,38341.163189592466,293.5641416666665,1211.4399668694423,39552.603156461904,1200.0000000000014,1200.0000000000014
none,2025-04-17,36135.502671150934,1727.7313888888898,6220.761601359724,42356.264272510656,1200.0000000000014,1200.0000000000014
none,2025-04-18,14046.7929983818,308.5382611111113,1077.415486245834,15124.208484627634,1200.0000000000014,1199.999999999999
none,2025-04-19,13564.362845606882,419.21814722222194,1451.1224311624994,15015.485276769381,1199.999999999999,1200.000000000005
none,2025-04-20,37147.79779579298,737.2403361111121,2429.449846184727,39577.24764197771,1200.000000000005,1199.999999999999
none,2025-04-21,38667.559070304545,492.4433722222217,1520.9878284541633,40188.54689875871,1199.999999999999,1200.0000000000011
none,2025-04-22,34928.19266033219,2073.3386027777788,6832.166717983335,41760.35937831552,1200.0000000000011,1200.0000000000032
none,2025-04-23,33687.61627668422,2187.902155555556,7538.994318658331,41226.61059534255,1200.0000000000032,1200.0000000000002
none,2025-04-24,35177.42989184441,278.9486055555555,1084.2683836138885,36261.6982754583,1200.0000000000002,1199.9999999999993
none,2025-04-25,13748.33932502923,186.64030000000014,689.7728423736124,14438.112167402842,1199.9999999999993,1200.0000000000036
none,2025-04-26,13538.619499646418,261.5722000000005,932.0289445402798,14470.648444186698,1200.0000000000036,1200.000000000001
none,2025-04-27,34618.45996200168,1201.9756055555554,5602.890939302777,40221.35090130446,1200.000000000001,1200.0000000000011
none,2025-04-28,40941.77158255575,391.39724166666684,1640.2803694916688,42582.05195204742,1200.0000000000011,1200.000000000002
none,2025-04-29,35819.091675451535,369.0161611111097,1694.2773517124951,37513.36902716403,1200.000000000002,1200.0000000000025
none,2025-04-30,34290.76807194214,1226.9508055555568,5011.165576395837,39301.933648337974,1200.0000000000025,1200.0000000000023
none,2025-05-01,35949.54779111182,2421.81441388889,11343.596637686114,47293.14442879794,1200.0000000000023,1200.0000000000002
